 2074309 | 16Bm07 Jan 27 03:03:44 17 | 17AP30 Nr0051_1  | 10:44:00.0  30:00:00 2000 | 300 | r | 1.02 | 0.50 0.53   687 |     OG1 |   OB151 |P 1 V Q R|
 2100089 | 17Am04 Apr 20 22:09:31 17 | 17AP30 Nr0974_3  | 11:55:40.8  35:32:49 2000 | 100 | r | 1.04 | 0.51 0.53   214 |   OG225 |  OB2922 |P 1 V Q R|
 2100090 | 17Am04 Apr 20 22:12:10 17 | 17AP30 Nr0975_3  | 12:00:26.4  35:32:49 2000 | 114 | r | 1.04 | 0.49 0.50   249 |   OG225 |  OB2925 |P 1 V Q R|
 2100091 | 17Am04 Apr 20 22:14:35 17 | 17AP30 Nr0976_3  | 12:05:12.0  35:32:49 2000 | 100 | r | 1.04 | 0.49 0.50   216 |   OG225 |  OB2928 |P 1 V Q R|
 2100092 | 17Am04 Apr 20 22:17:00 17 | 17AP30 Nr0977_3  | 12:09:57.6  35:32:49 2000 | 100 | r | 1.04 | 0.60 0.61   219 |   OG225 |  OB2931 |P 1 V Q R|
 2100093 | 17Am04 Apr 20 22:19:26 17 | 17AP30 Nr0978_3  | 12:14:43.2  35:32:49 2000 | 100 | r | 1.04 | 0.62 0.63   219 |   OG225 |  OB2934 |P 1 V Q R|
 2100103 | 17Am04 Apr 20 23:00:49 17 | 17AP30 Nr1120_3  | 11:47:09.6  36:31:37 2000 | 300 | r | 1.06 | 0.63 0.64   664 |   OG261 |  OB3360 |A 1 V Q R|
 2100104 | 17Am04 Apr 20 23:06:34 17 | 17AP30 Nr1121_3  | 11:52:00.0  36:31:37 2000 | 300 | r | 1.06 | 0.54 0.55   669 |   OG261 |  OB3363 |A 1 V Q R|
 2100105 | 17Am04 Apr 20 23:09:38 17 | 17AP30 Nr1122_3  | 11:56:50.4  36:31:37 2000 | 139 | r | 1.06 | 0.49 0.50   305 |   OG261 |  OB3366 |A 1 V Q R|
 2100106 | 17Am04 Apr 20 23:10:53 17 | 17AP30 Nr1123_3  | 12:01:40.8  36:31:37 2000 |  30 | r | 1.06 | 0.51 0.52    66 |   OG261 |  OB3369 |A 1 O Q R|
 2100107 | 17Am04 Apr 20 23:12:09 17 | 17AP30 Nr1123_3  | 12:01:40.8  36:31:37 2000 |  30 | r | 1.06 | 0.49 0.50    65 |   OG261 |  OB3369 |A 1 O Q R|
 2100108 | 17Am04 Apr 20 23:14:34 17 | 17AP30 Nr1123_3  | 12:01:40.8  36:31:37 2000 | 100 | r | 1.06 | 0.52 0.52   218 |   OG261 |  OB3369 |A 1 V Q R|
 2100109 | 17Am04 Apr 20 23:17:37 17 | 17AP30 Nr1124_3  | 12:06:31.2  36:31:37 2000 | 137 | r | 1.06 | 0.54 0.55   297 |   OG261 |  OB3372 |A 1 V Q R|
 2100110 | 17Am04 Apr 20 23:20:17 17 | 17AP30 Nr1125_3  | 12:11:21.6  36:31:37 2000 | 115 | r | 1.06 | 0.52 0.52   257 |   OG261 |  OB3375 |A 1 V Q R|
 2100111 | 17Am04 Apr 20 23:22:58 17 | 17AP30 Nr1126_3  | 12:16:12.0  36:31:37 2000 | 116 | r | 1.06 | 0.52 0.53   256 |   OG261 |  OB3378 |A 1 V Q R|
 2100112 | 17Am04 Apr 20 23:25:46 17 | 17AP30 Nr1268_3  | 11:49:40.8  37:30:25 2000 | 123 | r | 1.09 | 0.56 0.58   273 |   OG294 |  OB3804 |A 1 V Q R|
 2100113 | 17Am04 Apr 20 23:28:24 17 | 17AP30 Nr1269_3  | 11:54:33.6  37:30:25 2000 | 113 | r | 1.09 | 0.53 0.53   253 |   OG294 |  OB3807 |A 1 V Q R|
 2100114 | 17Am04 Apr 20 23:32:14 17 | 17AP30 Nr1270_3  | 11:59:26.4  37:30:25 2000 | 148 | r | 1.08 | 0.57 0.58   336 |   OG294 |  OB3810 |A 1 V Q R|
 2100115 | 17Am04 Apr 20 23:34:59 17 | 17AP30 Nr1271_3  | 12:04:19.2  37:30:25 2000 | 120 | r | 1.08 | 0.52 0.53   280 |   OG294 |  OB3813 |A 1 V Q R|
 2100116 | 17Am04 Apr 20 23:37:53 17 | 17AP30 Nr1272_3  | 12:09:12.0  37:30:25 2000 | 124 | r | 1.08 | 0.59 0.60   295 |   OG294 |  OB3816 |A 1 V Q R|
 2100117 | 17Am04 Apr 20 23:46:53 17 | 17AP30 Nr1273_3  | 12:14:04.8  37:30:25 2000 | 117 | r | 1.08 | 0.49 0.52   272 |   OG294 |  OB3819 |A 1 V Q R|
 2100118 | 17Am04 Apr 20 23:49:45 17 | 17AP30 Nr1274_3  | 12:18:57.6  37:30:25 2000 | 126 | r | 1.08 | 0.60 0.61   304 |   OG294 |  OB3822 |A 1 V Q R|
 2100119 | 17Am04 Apr 20 23:52:39 17 | 17AP30 Nr1414_3  | 11:49:43.2  38:29:13 2000 | 124 | r | 1.13 | 0.57 0.58   295 |   OG327 |  OB4242 |A 1 V D R|
 2100120 | 17Am04 Apr 20 23:55:30 17 | 17AP30 Nr1415_3  | 11:54:40.8  38:29:13 2000 | 126 | r | 1.13 | 0.56 0.56   299 |   OG327 |  OB4245 |A 1 V D R|
 2100121 | 17Am04 Apr 20 23:58:54 17 | 17AP30 Nr1281_3  | 12:53:07.2  37:30:25 2000 | 149 | r | 1.06 | 0.54 0.55   359 |   OG297 |  OB3843 |A 1 V Q R|
 2101571 | 17Am04 May 03 20:59:08 17 | 17AP30 Nr0809_3  | 10:42:16.8  34:34:01 2000 |  30 | r | 1.05 | 0.55 0.58   313 |   OG183 |  OB2427 |P 3 O D R|
 2101572 | 17Am04 May 03 21:00:24 17 | 17AP30 Nr0809_3  | 10:42:16.8  34:34:01 2000 |  30 | r | 1.05 | 0.68 0.70   312 |   OG183 |  OB2427 |P 3 O D R|
 2101573 | 17Am04 May 03 21:02:50 17 | 17AP30 Nr0809_3  | 10:42:16.8  34:34:01 2000 | 100 | r | 1.05 | 0.54 0.56  1035 |   OG183 |  OB2427 |P 3 O D R|
 2101574 | 17Am04 May 03 21:05:17 17 | 17AP30 Nr0810_3  | 10:47:00.0  34:34:01 2000 | 100 | r | 1.05 | 0.54 0.57  1023 |   OG183 |  OB2430 |P 3 O D R|
 2101575 | 17Am04 May 03 21:11:03 17 | 17AP30 Nr0811_3  | 10:51:43.2  34:34:01 2000 | 300 | r | 1.05 | 0.58 0.60  3026 |   OG183 |  OB2433 |P 3 O D R|
 2101576 | 17Am04 May 03 21:17:13 17 | 17AP30 Nr0812_3  | 10:56:26.4  34:34:01 2000 | 300 | r | 1.05 | 0.51 0.53  2940 |   OG183 |  OB2436 |P 3 O D R|
 2101577 | 17Am04 May 03 21:23:00 17 | 17AP30 Nr0813_3  | 11:01:09.6  34:34:01 2000 | 300 | r | 1.05 | 0.52 0.54  2857 |   OG183 |  OB2439 |P 3 O D R|
 2101578 | 17Am04 May 03 21:28:48 17 | 17AP30 Nr0814_3  | 11:05:52.8  34:34:01 2000 | 300 | r | 1.05 | 0.56 0.57  2783 |   OG183 |  OB2442 |P 3 O D R|
 2101579 | 17Am04 May 03 21:34:34 17 | 17AP30 Nr0815_3  | 11:10:36.0  34:34:01 2000 | 300 | r | 1.05 | 0.54 0.55  2746 |   OG183 |  OB2445 |P 3 O D R|
 2101580 | 17Am04 May 03 21:40:31 17 | 17AP30 Nr0958_3  | 10:39:31.2  35:32:49 2000 | 300 | r | 1.09 | 0.58 0.60  3028 |   OG219 |  OB2874 |P 3 O D R|
 2101581 | 17Am04 May 03 21:46:22 17 | 17AP30 Nr0959_3  | 10:44:16.8  35:32:49 2000 | 300 | r | 1.10 | 0.60 0.62  2974 |   OG219 |  OB2877 |P 3 O D R|
 2101582 | 17Am04 May 03 21:53:17 17 | 17AP30 Nr0960_3  | 10:49:02.4  35:32:49 2000 | 300 | r | 1.10 | 0.61 0.63  2923 |   OG219 |  OB2880 |P 3 O D R|
 2101583 | 17Am04 May 03 21:59:03 17 | 17AP30 Nr0961_3  | 10:53:48.0  35:32:49 2000 | 300 | r | 1.10 | 0.61 0.63  2911 |   OG219 |  OB2883 |P 3 O D R|
 2101584 | 17Am04 May 03 22:04:52 17 | 17AP30 Nr0962_3  | 10:58:33.6  35:32:49 2000 | 300 | r | 1.10 | 0.73 0.75  2899 |   OG219 |  OB2886 |P 3 O D R|
 2101585 | 17Am04 May 03 22:10:39 17 | 17AP30 Nr0963_3  | 11:03:19.2  35:32:49 2000 | 300 | r | 1.10 | 0.71 0.72  2882 |   OG219 |  OB2889 |P 3 O D R|
 2101586 | 17Am04 May 03 22:16:26 17 | 17AP30 Nr0964_3  | 11:08:04.8  35:32:49 2000 | 300 | r | 1.10 | 0.61 0.62  2871 |   OG219 |  OB2892 |P 3 O D R|
 2101587 | 17Am04 May 03 22:18:54 17 | 17AP30 Nr1106_3  | 10:39:24.0  36:31:37 2000 | 100 | r | 1.18 | 0.60 0.61  1056 |   OG255 |  OB3318 |P 3 O D R|
 2101588 | 17Am04 May 03 22:24:46 17 | 17AP30 Nr1107_3  | 10:44:14.4  36:31:37 2000 | 300 | r | 1.17 | 0.62 0.63  3160 |   OG255 |  OB3321 |P 3 O D R|
 2101589 | 17Am04 May 03 22:30:33 17 | 17AP30 Nr1108_3  | 10:49:04.8  36:31:37 2000 | 300 | r | 1.17 | 0.61 0.62  3158 |   OG255 |  OB3324 |P 3 O D R|
 2101590 | 17Am04 May 03 22:36:20 17 | 17AP30 Nr1109_3  | 10:53:55.2  36:31:37 2000 | 300 | r | 1.18 | 0.64 0.65  3160 |   OG255 |  OB3327 |P 3 O D R|
 2101591 | 17Am04 May 03 22:42:06 17 | 17AP30 Nr1110_3  | 10:58:45.6  36:31:37 2000 | 300 | r | 1.18 | 0.66 0.67  3146 |   OG255 |  OB3330 |P 3 O D R|
 2101592 | 17Am04 May 03 22:47:55 17 | 17AP30 Nr1111_3  | 11:03:36.0  36:31:37 2000 | 300 | r | 1.18 | 0.68 0.69  3123 |   OG255 |  OB3333 |P 3 O D R|
 2101593 | 17Am04 May 03 22:53:45 17 | 17AP30 Nr1112_3  | 11:08:26.4  36:31:37 2000 | 300 | r | 1.18 | 0.62 0.64  3112 |   OG255 |  OB3336 |P 3 O D R|
 2101594 | 17Am04 May 03 22:59:44 17 | 17AP30 Nr1254_3  | 10:41:21.6  37:30:25 2000 | 300 | r | 1.28 | 0.69 0.70  3458 |   OG288 |  OB3762 |P 3 O D R|
 2101595 | 17Am04 May 03 23:01:00 17 | 17AP30 Nr1255_3  | 10:46:14.4  37:30:25 2000 |  30 | r | 1.29 | 0.77 0.78   345 |   OG288 |  OB3765 |P 3 O D R|
 2101596 | 17Am04 May 03 23:02:17 17 | 17AP30 Nr1255_3  | 10:46:14.4  37:30:25 2000 |  30 | r | 1.29 | 0.69 0.71   347 |   OG288 |  OB3765 |P 3 O D R|
 2101597 | 17Am04 May 03 23:07:49 17 | 17AP30 Nr1255_3  | 10:46:14.4  37:30:25 2000 | 100 | r | 1.31 | 0.75 0.76  1157 |   OG288 |  OB3765 |P 3 O D R|
 2101598 | 17Am04 May 03 23:13:35 17 | 17AP30 Nr1256_3  | 10:51:07.2  37:30:25 2000 | 300 | r | 1.30 | 0.65 0.66  3446 |   OG288 |  OB3768 |P 3 O D R|
 2101599 | 17Am04 May 03 23:19:22 17 | 17AP30 Nr1257_3  | 10:56:00.0  37:30:25 2000 | 300 | r | 1.30 | 0.61 0.62  3422 |   OG288 |  OB3771 |P 3 O D R|
 2101600 | 17Am04 May 03 23:25:08 17 | 17AP30 Nr1258_3  | 11:00:52.8  37:30:25 2000 | 300 | r | 1.31 | 0.54 0.55  3377 |   OG288 |  OB3774 |P 3 O D R|
 2101601 | 17Am04 May 03 23:30:54 17 | 17AP30 Nr1259_3  | 11:05:45.6  37:30:25 2000 | 300 | r | 1.31 | 0.53 0.54  3338 |   OG288 |  OB3777 |P 3 O D R|
 2101602 | 17Am04 May 03 23:36:41 17 | 17AP30 Nr1260_3  | 11:10:38.4  37:30:25 2000 | 300 | r | 1.31 | 0.53 0.55  3294 |   OG288 |  OB3780 |P 3 O D R|
 2101603 | 17Am04 May 03 23:43:37 17 | 17AP30 Nr1400_3  | 10:40:16.8  38:29:13 2000 | 300 | r | 1.49 | 0.60 0.61  3729 |   OG321 |  OB4200 |P 3 O D R|
 2101604 | 17Am04 May 03 23:49:47 17 | 17AP30 Nr1416_3  | 11:59:38.4  38:29:13 2000 | 300 | r | 1.21 | 0.51 0.52  2640 |   OG327 |  OB4248 |P 3 O D R|
 2101605 | 17Am04 May 03 23:55:33 17 | 17AP30 Nr1417_3  | 12:04:36.0  38:29:13 2000 | 300 | r | 1.21 | 0.52 0.53  2599 |   OG327 |  OB4251 |P 3 O D R|
 2101606 | 17Am04 May 04 00:01:19 17 | 17AP30 Nr1418_3  | 12:09:33.6  38:29:13 2000 | 300 | r | 1.21 | 0.54 0.56  2598 |   OG327 |  OB4254 |P 3 O D R|
 2101607 | 17Am04 May 04 00:07:05 17 | 17AP30 Nr1419_3  | 12:14:31.2  38:29:13 2000 | 300 | r | 1.21 | 0.80 0.82  2547 |   OG327 |  OB4257 |P 3 O D R|
 2101608 | 17Am04 May 04 00:12:51 17 | 17AP30 Nr1420_3  | 12:19:28.8  38:29:13 2000 | 300 | r | 1.22 | 0.81 0.82  2493 |   OG327 |  OB4260 |P 3 O D R|
 2103955 | 17Am05 May 17 23:02:31 17 | 17AP30 Nr2800_1  | 13:26:38.4  48:37:12 2000 |  30 | r | 1.17 | 0.79 0.82    86 |   OG643 |  OB8398 |P 5 O Q R|
 2103956 | 17Am05 May 17 23:03:47 17 | 17AP30 Nr2800_1  | 13:26:38.4  48:37:12 2000 |  30 | r | 1.17 | 0.79 0.80    85 |   OG643 |  OB8398 |P 5 O Q R|
 2103957 | 17Am05 May 17 23:08:45 17 | 17AP30 Nr2800_1  | 13:26:38.4  48:37:12 2000 | 245 | r | 1.17 | 0.72 0.75   707 |   OG643 |  OB8398 |P 5 O Q R|
 2103958 | 17Am05 May 17 23:14:03 17 | 17AP30 Nr2801_1  | 13:32:28.8  48:37:12 2000 | 161 | r | 1.17 | 0.77 0.79   465 |   OG643 |  OB8401 |P 5 O Q R|
 2103959 | 17Am05 May 17 23:17:35 17 | 17AP30 Nr2802_1  | 13:38:19.2  48:37:12 2000 | 161 | r | 1.17 | 0.80 0.82   473 |   OG643 |  OB8404 |P 5 O Q R|
 2103976 | 17Am05 May 18 01:02:31 17 | 17AP30 Nr1456_1  | 15:19:50.4  38:49:12 2000 |  30 | r | 1.09 | 0.78 0.81   128 |   OG343 |  OB4366 |P 1 O D R|
 2103977 | 17Am05 May 18 01:03:46 17 | 17AP30 Nr1456_1  | 15:19:50.4  38:49:12 2000 |  30 | r | 1.09 | 0.83 0.86   128 |   OG343 |  OB4366 |P 1 O D R|
 2103978 | 17Am05 May 18 01:09:31 17 | 17AP30 Nr1456_1  | 15:19:50.4  38:49:12 2000 | 300 | r | 1.09 | 0.80 0.82  1296 |   OG343 |  OB4366 |P 3 O D R|
 2103979 | 17Am05 May 18 01:14:31 17 | 17AP30 Nr1457_1  | 15:24:48.0  38:49:12 2000 | 249 | r | 1.09 | 0.82 0.84  1100 |   OG343 |  OB4369 |P 1 V D R|
 2103980 | 17Am05 May 18 01:19:25 17 | 17AP30 Nr1458_1  | 15:29:45.6  38:49:12 2000 | 245 | r | 1.09 | 0.85 0.87  1097 |   OG343 |  OB4372 |P 1 V D R|
 2103981 | 17Am05 May 18 01:24:40 17 | 17AP30 Nr1459_1  | 15:34:43.2  38:49:12 2000 | 259 | r | 1.09 | 0.80 0.82  1186 |   OG343 |  OB4375 |P 1 V D R|
 2103982 | 17Am05 May 18 01:29:59 17 | 17AP30 Nr1460_1  | 15:39:40.8  38:49:12 2000 | 258 | r | 1.09 | 0.85 0.87  1154 |   OG343 |  OB4378 |P 1 V D R|
 2103983 | 17Am05 May 18 01:35:00 17 | 17AP30 Nr1461_1  | 15:44:38.4  38:49:12 2000 | 253 | r | 1.09 | 0.74 0.76  1142 |   OG343 |  OB4381 |P 1 V D R|
 2103984 | 17Am05 May 18 01:40:03 17 | 17AP30 Nr1462_1  | 15:49:36.0  38:49:12 2000 | 240 | r | 1.10 | 0.78 0.81  1077 |   OG343 |  OB4384 |P 1 V D R|
 2103985 | 17Am05 May 18 01:45:12 17 | 17AP30 Nr0121_2  | 15:59:12.0  30:19:58 2000 | 250 | r | 1.05 | 0.75 0.78  1130 |    OG32 |   OB362 |P 1 V Q R|
 2103986 | 17Am05 May 18 01:50:34 17 | 17AP30 Nr0122_2  | 16:03:40.8  30:19:58 2000 | 276 | r | 1.05 | 0.75 0.78  1262 |    OG32 |   OB365 |P 1 V Q R|
 2103987 | 17Am05 May 18 01:55:37 17 | 17AP30 Nr0123_2  | 16:08:09.6  30:19:58 2000 | 257 | r | 1.05 | 0.73 0.75  1186 |    OG32 |   OB368 |P 1 V Q R|
 2103988 | 17Am05 May 18 02:00:26 17 | 17AP30 Nr0124_2  | 16:12:38.4  30:19:58 2000 | 243 | r | 1.05 | 0.71 0.74  1120 |    OG32 |   OB371 |P 1 V Q R|
 2103989 | 17Am05 May 18 02:05:21 17 | 17AP30 Nr0125_2  | 16:17:07.2  30:19:58 2000 | 250 | r | 1.05 | 0.66 0.69  1164 |    OG32 |   OB374 |P 1 V Q R|
 2103990 | 17Am05 May 18 02:10:09 17 | 17AP30 Nr0126_2  | 16:21:36.0  30:19:58 2000 | 242 | r | 1.05 | 0.68 0.70  1129 |    OG32 |   OB377 |P 1 V Q R|
 2103991 | 17Am05 May 18 02:14:58 17 | 17AP30 Nr0127_2  | 16:26:04.8  30:19:58 2000 | 243 | r | 1.05 | 0.71 0.74  1137 |    OG32 |   OB380 |P 1 V Q R|
 2103992 | 17Am05 May 18 02:17:53 17 | 17AP30 Nr1456_1  | 15:19:50.4  38:49:12 2000 | 100 | r | 1.23 | 0.85 0.86   523 |   OG343 |  OB4366 |P 3 O D R|
 2103993 | 17Am05 May 18 02:22:49 17 | 17AP30 Nr0273_2  | 15:59:31.2  31:18:46 2000 | 246 | r | 1.11 | 0.67 0.69  1190 |    OG68 |   OB818 |P 1 V Q R|
 2103994 | 17Am05 May 18 02:28:35 17 | 17AP30 Nr0274_2  | 16:04:02.4  31:18:46 2000 | 300 | r | 1.11 | 0.65 0.67  1476 |    OG68 |   OB821 |P 3 O Q R|
 2103995 | 17Am05 May 18 02:33:43 17 | 17AP30 Nr0275_2  | 16:08:33.6  31:18:46 2000 | 262 | r | 1.11 | 0.68 0.70  1283 |    OG68 |   OB824 |P 1 V Q R|
 2103996 | 17Am05 May 18 02:38:26 17 | 17AP30 Nr0276_2  | 16:13:04.8  31:18:46 2000 | 236 | r | 1.11 | 0.78 0.80  1165 |    OG68 |   OB827 |P 1 V Q R|
 2103997 | 17Am05 May 18 02:43:20 17 | 17AP30 Nr0277_2  | 16:17:36.0  31:18:46 2000 | 248 | r | 1.11 | 0.70 0.72  1224 |    OG68 |   OB830 |P 1 V Q R|
 2103998 | 17Am05 May 18 02:48:57 17 | 17AP30 Nr0278_2  | 16:22:07.2  31:18:46 2000 | 290 | r | 1.11 | 0.76 0.78  1406 |    OG68 |   OB833 |P 1 V Q R|
 2103999 | 17Am05 May 18 02:54:42 17 | 17AP30 Nr0279_2  | 16:26:38.4  31:18:46 2000 | 299 | r | 1.12 | 0.80 0.82  1435 |    OG68 |   OB836 |P 1 V Q R|
 2104000 | 17Am05 May 18 02:59:25 17 | 17AP30 Nr0425_2  | 16:04:16.8  32:17:34 2000 | 234 | r | 1.18 | 0.91 0.93  1163 |   OG104 |  OB1274 |P 3 O Q R|
 2104001 | 17Am05 May 18 03:06:42 17 | 17AP30 Nr0425_2  | 16:04:16.8  32:17:34 2000 |  30 | r | 1.22 | 0.78 0.81   150 |   OG104 |  OB1274 |P 1 O Q R|
 2104002 | 17Am05 May 18 03:07:58 17 | 17AP30 Nr0425_2  | 16:04:16.8  32:17:34 2000 |  30 | r | 1.22 | 0.85 0.86   151 |   OG104 |  OB1274 |P 1 O Q R|
 2104003 | 17Am05 May 18 03:10:24 17 | 17AP30 Nr0425_2  | 16:04:16.8  32:17:34 2000 | 100 | r | 1.22 | 0.77 0.80   499 |   OG104 |  OB1274 |P 1 V Q R|
 2104004 | 17Am05 May 18 03:15:40 17 | 17AP30 Nr0426_2  | 16:08:50.4  32:17:34 2000 | 271 | r | 1.22 | 0.83 0.85  1342 |   OG104 |  OB1277 |P 1 V Q R|
 2104005 | 17Am05 May 18 03:21:17 17 | 17AP30 Nr0427_2  | 16:13:24.0  32:17:34 2000 | 291 | r | 1.22 | 0.84 0.87  1425 |   OG104 |  OB1280 |P 1 V Q R|
 2104006 | 17Am05 May 18 03:26:49 17 | 17AP30 Nr0428_2  | 16:17:57.6  32:17:34 2000 | 286 | r | 1.22 | 0.85 0.88  1400 |   OG104 |  OB1283 |P 1 V Q R|
 2104007 | 17Am05 May 18 03:32:17 17 | 17AP30 Nr0429_2  | 16:22:31.2  32:17:34 2000 | 282 | r | 1.23 | 0.89 0.91  1403 |   OG104 |  OB1286 |P 1 V Q R|
 2104008 | 17Am05 May 18 03:37:57 17 | 17AP30 Nr0430_2  | 16:27:04.8  32:17:34 2000 | 294 | r | 1.23 | 0.74 0.76  1467 |   OG104 |  OB1289 |P 1 V Q R|
 2104009 | 17Am05 May 18 03:43:43 17 | 17AP30 Nr0431_2  | 16:31:38.4  32:17:34 2000 | 300 | r | 1.23 | 0.83 0.85  1506 |   OG104 |  OB1292 |P 3 O Q R|
 2104010 | 17Am05 May 18 03:49:22 17 | 17AP30 Nr0576_2  | 16:05:04.8  33:16:22 2000 | 292 | r | 1.36 | 0.78 0.80  1602 |   OG140 |  OB1727 |P 1 V Q R|
 2104011 | 17Am05 May 18 03:55:08 17 | 17AP30 Nr0577_2  | 16:09:40.8  33:16:22 2000 | 300 | r | 1.36 | 0.88 0.90  1662 |   OG140 |  OB1730 |P 3 O Q R|
 2104012 | 17Am05 May 18 04:00:54 17 | 17AP30 Nr0578_2  | 16:14:16.8  33:16:22 2000 | 300 | r | 1.37 | 0.85 0.87  1677 |   OG140 |  OB1733 |P 3 O Q R|
 2104013 | 17Am05 May 18 04:03:19 17 | 17AP30 Nr0579_2  | 16:18:52.8  33:16:22 2000 | 100 | r | 1.37 | 0.89 0.92   557 |   OG140 |  OB1736 |P 3 O Q R|
 2104014 | 17Am05 May 18 04:09:04 17 | 17AP30 Nr0580_2  | 16:23:28.8  33:16:22 2000 | 300 | r | 1.36 | 0.80 0.82  1726 |   OG140 |  OB1739 |P 3 O Q R|
 2104015 | 17Am05 May 18 04:14:50 17 | 17AP30 Nr0581_2  | 16:28:04.8  33:16:22 2000 | 300 | r | 1.37 | 0.81 0.84  1691 |   OG140 |  OB1742 |P 3 O Q R|
 2104016 | 17Am05 May 18 04:20:35 17 | 17AP30 Nr0582_2  | 16:32:40.8  33:16:22 2000 | 300 | r | 1.37 | 0.95 0.97  1682 |   OG140 |  OB1745 |P 5 O Q R|
 2104089 | 17Am05 May 18 20:25:14 17 | 17AP30 Nr2800_1  | 13:26:38.4  48:37:12 2000 |  30 | r | 1.22 | 0.73 0.77    94 |   OG643 |  OB8398 |P 1 V Q R|
 2104090 | 17Am05 May 18 20:26:30 17 | 17AP30 Nr2800_1  | 13:26:38.4  48:37:12 2000 |  30 | r | 1.21 | 0.77 0.80    94 |   OG643 |  OB8398 |P 1 V Q R|
 2104091 | 17Am05 May 18 20:32:48 17 | 17AP30 Nr2800_1  | 13:26:38.4  48:37:12 2000 | 300 | r | 1.21 | 0.85 0.87   934 |   OG643 |  OB8398 |P 3 O Q R|
 2104092 | 17Am05 May 18 20:36:35 17 | 17AP30 Nr2801_1  | 13:32:28.8  48:37:12 2000 | 181 | r | 1.21 | 0.71 0.73   567 |   OG643 |  OB8401 |P 1 V Q R|
 2104093 | 17Am05 May 18 20:40:24 17 | 17AP30 Nr2802_1  | 13:38:19.2  48:37:12 2000 | 184 | r | 1.21 | 0.79 0.82   572 |   OG643 |  OB8404 |P 1 V Q R|
 2104094 | 17Am05 May 18 20:44:00 17 | 17AP30 Nr2803_1  | 13:44:09.6  48:37:12 2000 | 170 | r | 1.22 | 0.78 0.81   537 |   OG643 |  OB8407 |P 1 V Q R|
 2104095 | 17Am05 May 18 20:47:41 17 | 17AP30 Nr2804_1  | 13:50:00.0  48:37:12 2000 | 176 | r | 1.22 | 0.83 0.86   561 |   OG643 |  OB8410 |A 1 V Q R|
 2104096 | 17Am05 May 18 20:51:31 17 | 17AP30 Nr2805_1  | 13:55:50.4  48:37:12 2000 | 178 | r | 1.22 | 0.87 0.90   557 |   OG643 |  OB8413 |A 1 V Q R|
 2104097 | 17Am05 May 18 20:55:26 17 | 17AP30 Nr2806_1  | 14:01:40.8  48:37:12 2000 | 185 | r | 1.23 | 1.05 1.07   570 |   OG643 |  OB8416 |A 3 O Q R|
 2104098 | 17Am05 May 18 21:00:22 17 | 17AP30 Nr2929_1  | 13:31:09.6  49:36:00 2000 | 223 | r | 1.19 | 1.04 1.06   653 |   OG670 |  OB8785 |A 3 O Q R|
 2104099 | 17Am05 May 18 21:04:50 17 | 17AP30 Nr2930_1  | 13:37:07.2  49:36:00 2000 | 223 | r | 1.19 | 0.97 1.00   633 |   OG670 |  OB8788 |A 3 O Q R|
 2104107 | 17Am05 May 18 23:46:59 17 | 17AP30 Nr2806_1  | 14:01:40.8  48:37:12 2000 |  30 | r | 1.18 | 0.74 0.78    73 |   OG643 |  OB8416 |P 1 O Q R|
 2104108 | 17Am05 May 18 23:48:15 17 | 17AP30 Nr2806_1  | 14:01:40.8  48:37:12 2000 |  30 | r | 1.18 | 0.73 0.75    72 |   OG643 |  OB8416 |P 1 O Q R|
 2104109 | 17Am05 May 18 23:54:01 17 | 17AP30 Nr2806_1  | 14:01:40.8  48:37:12 2000 | 300 | r | 1.18 | 0.67 0.70   730 |   OG643 |  OB8416 |P 3 O Q R|
 2104110 | 17Am05 May 18 23:57:03 17 | 17AP30 Nr2929_1  | 13:31:09.6  49:36:00 2000 | 135 | r | 1.25 | 0.71 0.73   336 |   OG670 |  OB8785 |P 1 V Q R|
 2104111 | 17Am05 May 18 23:59:59 17 | 17AP30 Nr2930_1  | 13:37:07.2  49:36:00 2000 | 130 | r | 1.25 | 0.72 0.75   324 |   OG670 |  OB8788 |P 1 V Q R|
 2104112 | 17Am05 May 19 00:03:05 17 | 17AP30 Nr2931_1  | 13:43:04.8  49:36:00 2000 | 140 | r | 1.24 | 0.61 0.63   357 |   OG670 |  OB8791 |P 1 V Q R|
 2104113 | 17Am05 May 19 00:06:10 17 | 17AP30 Nr2932_1  | 13:49:02.4  49:36:00 2000 | 139 | r | 1.23 | 0.58 0.61   359 |   OG670 |  OB8794 |P 1 V Q R|
 2104114 | 17Am05 May 19 00:09:08 17 | 17AP30 Nr2933_1  | 13:55:00.0  49:36:00 2000 | 133 | r | 1.23 | 0.61 0.63   323 |   OG670 |  OB8797 |P 1 V Q R|
 2104115 | 17Am05 May 19 00:12:03 17 | 17AP30 Nr2934_1  | 14:00:57.6  49:36:00 2000 | 129 | r | 1.22 | 0.60 0.63   310 |   OG670 |  OB8800 |P 1 V Q R|
 2104116 | 17Am05 May 19 00:14:55 17 | 17AP30 Nr2935_1  | 14:06:55.2  49:36:00 2000 | 126 | r | 1.22 | 0.59 0.62   305 |   OG670 |  OB8803 |P 1 V Q R|
 2104117 | 17Am05 May 19 00:17:52 17 | 17AP30 Nr3055_1  | 13:33:36.0  50:34:48 2000 | 130 | r | 1.30 | 0.63 0.65   326 |   OG697 |  OB9163 |P 1 V Q R|
