 2074836 | 16Bm07 Jan 29 01:16:40 17 | 17AP30 Nr0076_1  | 12:36:00.0  30:00:00 2000 | 146 | r | 1.39 | 0.68 0.70   408 |    OG10 |   OB226 |P 1 V Q R|
 2074837 | 16Bm07 Jan 29 01:19:45 17 | 17AP30 Nr0077_1  | 12:40:28.8  30:00:00 2000 | 140 | r | 1.40 | 0.67 0.69   379 |    OG10 |   OB229 |P 1 V Q R|
 2074838 | 16Bm07 Jan 29 01:22:45 17 | 17AP30 Nr0078_1  | 12:44:57.6  30:00:00 2000 | 134 | r | 1.40 | 0.65 0.66   366 |    OG10 |   OB232 |P 1 V Q R|
 2074839 | 16Bm07 Jan 29 01:24:00 17 | 17AP30 Nr0079_1  | 12:49:26.4  30:00:00 2000 |  30 | r | 1.41 | 0.73 0.73    82 |    OG13 |   OB235 |P 1 O Q R|
 2074840 | 16Bm07 Jan 29 01:25:15 17 | 17AP30 Nr0079_1  | 12:49:26.4  30:00:00 2000 |  30 | r | 1.40 | 0.75 0.76    81 |    OG13 |   OB235 |P 1 O Q R|
 2074841 | 16Bm07 Jan 29 01:31:25 17 | 17AP30 Nr0079_1  | 12:49:26.4  30:00:00 2000 | 300 | r | 1.39 | 0.77 0.79   796 |    OG13 |   OB235 |P 1 V Q R|
 2074842 | 16Bm07 Jan 29 01:34:27 17 | 17AP30 Nr0080_1  | 12:53:55.2  30:00:00 2000 | 137 | r | 1.39 | 0.74 0.76   362 |    OG13 |   OB238 |P 1 V Q R|
 2074843 | 16Bm07 Jan 29 01:38:28 17 | 17AP30 Nr0081_1  | 12:58:24.0  30:00:00 2000 | 134 | r | 1.39 | 0.70 0.72   364 |    OG13 |   OB241 |P 1 V Q R|
 2074844 | 16Bm07 Jan 29 01:41:27 17 | 17AP30 Nr0082_1  | 13:02:52.8  30:00:00 2000 | 134 | r | 1.40 | 0.72 0.74   363 |    OG13 |   OB244 |P 1 V Q R|
 2074845 | 16Bm07 Jan 29 01:44:26 17 | 17AP30 Nr0083_1  | 13:07:21.6  30:00:00 2000 | 134 | r | 1.41 | 0.79 0.81   358 |    OG13 |   OB247 |P 1 V Q R|
 2074846 | 16Bm07 Jan 29 01:47:25 17 | 17AP30 Nr0084_1  | 13:11:50.4  30:00:00 2000 | 134 | r | 1.41 | 0.80 0.82   357 |    OG13 |   OB250 |P 1 V Q R|
 2074847 | 16Bm07 Jan 29 01:50:31 17 | 17AP30 Nr0085_1  | 13:16:19.2  30:00:00 2000 | 141 | r | 1.42 | 0.80 0.81   378 |    OG13 |   OB253 |P 1 V Q R|
 2074848 | 16Bm07 Jan 29 01:52:03 17 | 17AP30 Nr0065_2  | 11:48:19.2  30:19:58 2000 |  30 | r | 1.11 | 0.75 0.77    75 |     OG8 |   OB194 |P 1 O Q R|
 2074849 | 16Bm07 Jan 29 01:53:18 17 | 17AP30 Nr0065_2  | 11:48:19.2  30:19:58 2000 |  30 | r | 1.11 | 0.68 0.70    75 |     OG8 |   OB194 |P 1 O Q R|
 2074850 | 16Bm07 Jan 29 01:55:43 17 | 17AP30 Nr0065_2  | 11:48:19.2  30:19:58 2000 | 100 | r | 1.11 | 0.70 0.72   253 |     OG8 |   OB194 |P 1 V Q R|
